#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
28,P121_0_W6_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,30,686.7700 Seconds,0.00%,-
32,P121_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,30,687.9600 Seconds,0.00%,-
30,P121_180_W6_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,686.6300 Seconds,0.00%,-
34,P121_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,688.7600 Seconds,0.00%,-
31,P121_270_W6_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,686.5200 Seconds,0.00%,-
35,P121_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,687.7500 Seconds,0.00%,-
29,P121_90_W6_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,685.0400 Seconds,0.00%,-
33,P121_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,687.1900 Seconds,0.00%,-
36,P122_0_W6_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,30,688.0700 Seconds,0.00%,-
40,P122_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,30,689.9700 Seconds,0.00%,-
38,P122_180_W6_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,687.2600 Seconds,0.00%,-
42,P122_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,687.0100 Seconds,0.00%,-
39,P122_270_W6_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,686.4300 Seconds,0.00%,-
43,P122_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,687.4500 Seconds,0.00%,-
37,P122_90_W6_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,687.6800 Seconds,0.00%,-
41,P122_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,687.5400 Seconds,0.00%,-
52,P211_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,TRNSYS Completed Successfully,0,30,699.0400 Seconds,0.00%,-
56,P211_0_W8_R12,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,TRNSYS Completed Successfully,0,30,696.8900 Seconds,0.00%,-
60,P211_0_W8_R14,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,TRNSYS Completed Successfully,0,30,704.5300 Seconds,0.00%,-
44,P211_0_W8_R6,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,TRNSYS Completed Successfully,0,30,695.5500 Seconds,0.00%,-
48,P211_0_W8_R8,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,TRNSYS Completed Successfully,0,30,698.0100 Seconds,0.00%,-
