#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
32,P121_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,30,1376.8400 Seconds,0.0%,-
30,P121_180_W6_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1408.5000 Seconds,0.0%,-
34,P121_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1384.1801 Seconds,0.0%,-
31,P121_270_W6_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1406.3800 Seconds,0.0%,-
35,P121_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1365.7100 Seconds,0.0%,-
29,P121_90_W6_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1417.2300 Seconds,0.0%,-
33,P121_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1365.4900 Seconds,0.0%,-
36,P122_0_W6_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,30,1370.6801 Seconds,0.0%,-
40,P122_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,30,1425.4200 Seconds,0.0%,-
38,P122_180_W6_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1354.8300 Seconds,0.0%,-
42,P122_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1412.9301 Seconds,0.0%,-
39,P122_270_W6_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1365.7800 Seconds,0.0%,-
43,P122_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1441.5800 Seconds,0.0%,-
37,P122_90_W6_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,"TRNSYS Completed Successfully",0,31,1355.9100 Seconds,0.0%,-
41,P122_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1420.8700 Seconds,0.0%,-
52,P211_0_W8_R10,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,30,1416.8700 Seconds,0.0%,-
56,P211_0_W8_R12,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,"TRNSYS Completed Successfully",0,30,1472.3101 Seconds,0.0%,-
60,P211_0_W8_R14,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,"TRNSYS Completed Successfully",0,30,1506.6200 Seconds,0.0%,-
44,P211_0_W8_R6,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,"TRNSYS Completed Successfully",0,30,1436.6700 Seconds,0.0%,-
48,P211_0_W8_R8,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,"TRNSYS Completed Successfully",0,30,1452.9200 Seconds,0.0%,-
54,P211_180_W8_R10,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1422.9399 Seconds,0.0%,-
58,P211_180_W8_R12,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,"TRNSYS Completed Successfully",0,31,1471.7600 Seconds,0.0%,-
62,P211_180_W8_R14,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,"TRNSYS Completed Successfully",0,31,1497.7800 Seconds,0.0%,-
46,P211_180_W8_R6,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,"TRNSYS Completed Successfully",0,31,1445.2600 Seconds,0.0%,-
50,P211_180_W8_R8,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,"TRNSYS Completed Successfully",0,31,1451.6300 Seconds,0.0%,-
55,P211_270_W8_R10,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1422.4399 Seconds,0.0%,-
59,P211_270_W8_R12,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,"TRNSYS Completed Successfully",0,31,1481.4000 Seconds,0.0%,-
63,P211_270_W8_R14,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.14,"TRNSYS Completed Successfully",0,31,1499.4100 Seconds,0.0%,-
47,P211_270_W8_R6,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.06,"TRNSYS Completed Successfully",0,31,1451.8199 Seconds,0.0%,-
51,P211_270_W8_R8,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.08,"TRNSYS Completed Successfully",0,31,1450.8900 Seconds,0.0%,-
53,P211_90_W8_R10,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.1,"TRNSYS Completed Successfully",0,31,1417.0500 Seconds,0.0%,-
57,P211_90_W8_R12,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,EXT_WINDOW1_REHAB2,EXT_WINDOW1_REHAB2,0.08,0.12,"TRNSYS Completed Successfully",0,31,1418.1100 Seconds,0.0%,-
